Number,Company,TypeName,Inches,Display,Touchscreen,Width,Height,CpuModel,ClockSpeed,Ram,MemoryComponent1,MemoryComponent2,Gpu,OpSys,Weight,Price
163,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,,Nvidia GeForce GTX 1050Ti,Windows 10,2.5,57489.12
164,Acer,Notebook,15.6,None,0,1366,768,Intel Celeron Dual Core N3350,1.1,4,1TB HDD,,Intel HD Graphics 500,Windows 10,2.1,18541.44
165,MSI,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.4,95850.72
166,Acer,Notebook,15.6,None,0,1366,768,Intel Pentium Quad Core N4200,1.1,4,1TB HDD,,Intel HD Graphics 505,Windows 10,2.1,19367.8128
167,Dell,Gaming,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56,56502.9072
168,Acer,Notebook,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Nvidia GeForce MX150,Windows 10,3.0,45501.12
169,HP,Notebook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,4,500GB HDD,,Intel UHD Graphics 620,Windows 10,1.49,40173.12
170,Huawei,Ultrabook,13.0,IPS Panel Full HD,0,2160,1440,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.05,71874.72
171,HP,Notebook,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 7200U,2.5,6,2TB HDD,,AMD Radeon 520,Windows 10,2.71,37242.72
172,Lenovo,Notebook,15.6,None,0,1366,768,AMD A6-Series 9220,2.9,4,500GB HDD,,AMD Radeon R4 Graphics,No OS,2.2,16463.52
173,Toshiba,Notebook,15.6,None,0,1366,768,Intel Core i3 7100U,2.4,4,500GB HDD,,Intel HD Graphics 620,Windows 10,2.0,26053.92
174,HP,Notebook,17.3,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Nvidia GeForce 930MX,Windows 10,2.5,49177.44
175,Dell,Notebook,15.6,None,0,1366,768,Intel Core i3 7100U,2.4,8,1TB HDD,,Intel HD Graphics 620,Windows 10,2.3,24455.52
176,Acer,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.0,4,128GB SSD,,Intel HD Graphics 520,Windows 10,2.1,23922.72
177,MSI,Gaming,18.4,Full HD,0,1920,1080,Intel Core i7 6920HQ,2.9,32,512GB SSD,1TB HDD,Nvidia GTX 980 SLI,Windows 10,4.4,149130.72
178,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,128GB SSD,1TB HDD,AMD R17M-M1-70,Windows 10,1.9,43316.64
179,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD,1,3840,2160,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.29,79866.72
180,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,16,256GB SSD,2TB HDD,AMD Radeon 530,Linux,2.02,55890.72
181,Dell,Ultrabook,13.3,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.23,74538.72
182,Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD,1,3840,2160,Intel Core i7 8550U,1.8,16,512GB SSD,,Intel UHD Graphics 620,Windows 10,1.4,98514.72
183,Toshiba,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,8,128GB SSD,,Intel HD Graphics 620,Windows 10,2.0,42251.04
184,Xiaomi,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Nvidia GeForce MX150,No OS,1.95,63882.72
185,Dell,Notebook,17.3,Full HD,1,1920,1080,Intel Core i7 8550U,1.8,16,512GB SSD,,Nvidia GeForce 150MX,Windows 10,2.77,82530.72
186,Dell,Notebook,15.6,4K Ultra HD,1,3840,2160,Intel Core i7 7700HQ,2.8,16,512GB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.06,127712.16
187,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,256GB SSD,,Nvidia GeForce GTX 1050,No OS,2.4,41505.12
188,Acer,Ultrabook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 7Y54,1.2,8,256GB SSD,,Intel HD Graphics 615,Windows 10,1.12,52693.92
189,Dell,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,2.8,57808.8
190,Lenovo,2 in 1 Convertible,14.0,None,1,2560,1440,Intel Core i7 7500U,2.7,16,1TB SSD,,Intel HD Graphics 620,Windows 10,1.42,150462.72
191,Vero,Notebook,14.0,IPS Panel Full HD,0,1920,1080,Intel Celeron Dual Core N3350,1.1,4,32GB Flash Storage,,Intel HD Graphics 500,Windows 10,1.3,13852.8
192,Xiaomi,Ultrabook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Nvidia GeForce MX150,No OS,1.3,53274.67199999999
193,Lenovo,Notebook,17.3,None,0,1600,900,Intel Core i5 8250U,1.6,8,256GB SSD,,Nvidia GeForce MX150,No OS,2.8,37189.44
194,Dell,2 in 1 Convertible,13.3,IPS Panel Full HD,1,1920,1080,Intel Core i7 8550U,1.8,8,1TB HDD,,Intel UHD Graphics 620,Windows 10,1.62,44701.92
195,HP,Notebook,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,1TB HDD,,Nvidia GeForce 930MX,Windows 10,2.5,48697.92
196,Razer,Gaming,17.3,4K Ultra HD,1,3840,2160,Intel Core i7 7820HK,2.9,32,1TB SSD,,Nvidia GeForce GTX1080,Windows 10,3.49,324954.72
197,HP,Notebook,13.3,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,512GB SSD,,Intel UHD Graphics 620,Windows 10,1.49,51095.52
198,HP,Gaming,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.35,73473.12
199,HP,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Nvidia GeForce 930MX,Windows 10,2.5,55677.6
200,Dell,Gaming,15.6,IPS Panel 4K Ultra HD,0,3840,2160,Intel Core i7 7700HQ,2.8,16,512GB SSD,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,98301.6
201,Lenovo,Notebook,15.6,None,0,1366,768,Intel Core i5 6200U,2.3,4,128GB SSD,,Intel HD Graphics 520,Windows 10,2.1,26267.04
202,Acer,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,1TB HDD,,Nvidia GeForce 940MX,Windows 10,2.23,39533.76
203,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,512GB SSD,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2,93186.72
204,Dell,Workstation,15.6,4K Ultra HD,0,3840,2160,Intel Xeon E3-1505M V6,3.0,16,256GB SSD,1TB HDD,Nvidia Quadro M1200,Windows 10,2.8,162770.4
205,Lenovo,Gaming,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,512GB SSD,,Nvidia GeForce GTX 1060,No OS,2.4,74485.44
206,Dell,Notebook,15.6,None,1,1366,768,Intel Core i3 7100U,2.4,6,1TB HDD,,Intel HD Graphics 620,Windows 10,2.3,23389.92
207,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD,1,3840,2160,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.21,103842.72
208,Dell,Ultrabook,13.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.2,77202.72
209,Lenovo,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,2.2,31808.16
210,Acer,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,1TB HDD,,Nvidia GeForce GTX 1050,Linux,2.4,41505.12
211,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.9,74964.95999999999
212,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,500GB HDD,,Intel HD Graphics 520,No OS,2.1,18594.72
213,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,No OS,2.2,29250.72
214,Huawei,Ultrabook,13.0,IPS Panel Full HD,0,2160,1440,Intel Core i7 7500U,2.7,8,512GB SSD,,Intel HD Graphics 620,Windows 10,1.05,79866.72
215,Dell,Ultrabook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,AMD Radeon 530,Windows 10,1.4,49650.5664
216,Lenovo,Notebook,17.3,None,0,1600,900,Intel Core i5 7200U,2.5,8,1TB HDD,,Nvidia GeForce GTX 940MX,No OS,2.8,31381.92
217,HP,Notebook,14.0,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Nvidia GeForce 930MX,Windows 10,1.63,54931.68
218,Dell,Ultrabook,14.0,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.6,61218.72
219,Dell,2 in 1 Convertible,13.3,Full HD,1,1920,1080,Intel Core i7 8550U,1.8,16,512GB SSD,,Intel UHD Graphics 620,Windows 10,1.62,68145.12
220,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,AMD Radeon 520,Linux,2.2,36089.208
221,Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.74,47898.72
222,Toshiba,Ultrabook,13.3,Full HD,0,1920,1080,Intel Core i7 6500U,2.5,8,256GB SSD,,Intel HD Graphics 520,Windows 10,1.2,72620.64
223,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,1TB HDD,,Intel UHD Graphics 620,Windows 10,2.1,42304.32
224,Dell,Gaming,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.42,130873.7952
225,Acer,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Nvidia GeForce 940MX,Windows 10,2.2,44328.96
226,Dell,Notebook,15.6,Full HD,1,1920,1080,Intel Core i7 7500U,2.7,16,1TB HDD,,AMD Radeon R7 M445,Windows 10,2.3,45768.0528
227,Asus,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Nvidia GeForce 920MX,Windows 10,2.0,40972.32
228,Asus,Notebook,17.3,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,500GB HDD,Nvidia GeForce GTX 950M,Windows 10,2.69,47472.48
229,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,1TB HDD,,AMD FirePro W4190M,Windows 10,1.9,67612.31999999999
230,Asus,Notebook,15.6,None,0,1366,768,Intel Core i3 7100U,2.4,4,1TB HDD,,Intel HD Graphics 620,Windows 10,2.37,21258.1872
231,HP,Notebook,15.6,None,0,1366,768,AMD E-Series 9000e,1.5,4,500GB HDD,,AMD Radeon R2,Windows 10,2.1,17582.399999999998
232,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2,79866.72
233,Dell,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.6,45767.52
234,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD,1,1920,1080,Intel Core i5 6200U,2.3,8,256GB SSD,,Intel HD Graphics 520,Windows 10,1.6,36709.92
235,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,16,256GB SSD,,AMD Radeon R7 M445,Linux,2.36,47898.72
236,Acer,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.0,4,1TB HDD,,Intel HD Graphics 520,Linux,2.1,20779.2
237,Asus,Notebook,15.6,Full HD,0,1920,1080,AMD A10-Series A10-9620P,2.5,4,128GB SSD,1TB HDD,AMD Radeon R5 M430,Windows 10,2.2,30636.0
238,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7820HK,2.9,32,512GB SSD,1TB HDD,Nvidia GeForce GTX1080,Windows 10,4.7,207259.2
239,Acer,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,256GB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.5,45074.88
240,Lenovo,Notebook,15.6,None,0,1366,768,Intel Core i3 6006U,2.0,8,128GB SSD,,Intel HD Graphics 520,Windows 10,2.2,31381.92
241,Asus,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,128GB SSD,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.1,61005.6
242,Asus,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 950M,No OS,2.69,47365.92
243,Dell,Gaming,15.6,Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,256GB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.56,46833.12
244,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD,1,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.38,57489.12
245,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,128GB SSD,2TB HDD,AMD Radeon 530,Windows 10,2.2,52480.8
246,HP,Notebook,15.6,None,1,1366,768,Intel Core i5 7200U,2.5,8,1TB HDD,,Intel HD Graphics 620,Windows 10,2.04,29783.52
247,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7820HK,2.9,16,256GB SSD,,Nvidia GeForce GTX1080,Windows 10,3.6,159786.72
248,HP,Notebook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,4,500GB HDD,,Intel UHD Graphics 620,Windows 10,1.49,35964.0
249,Apple,Ultrabook,13.3,IPS Panel Retina Display,0,2560,1600,Intel Core i5,3.1,8,512GB SSD,,Intel Iris Plus Graphics 650,macOS,1.37,108691.2
250,Dell,2 in 1 Convertible,15.6,IPS Panel Full HD,1,1920,1080,Intel Core i7 8550U,1.8,8,1TB HDD,,Intel UHD Graphics 620,Windows 10,2.08,43636.32
251,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 980M,Windows 10,4.3,95850.72
252,Asus,Notebook,15.6,None,0,1366,768,AMD A9-Series 9420,3.0,4,1TB HDD,,AMD Radeon R5 M420,Windows 10,1.68,24988.32
253,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD,1,1920,1080,Intel Core i7 8550U,1.8,8,512GB SSD,,Intel UHD Graphics 620,Windows 10,1.37,98514.72
254,Acer,Notebook,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i3 7130U,2.7,4,256GB SSD,,Nvidia GeForce MX130,Windows 10,3.0,37402.56
255,Dell,Ultrabook,13.3,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,1.41,50562.72
256,HP,Notebook,15.6,None,0,1366,768,AMD A6-Series A6-9220,2.5,8,128GB SSD,,AMD Radeon R4 Graphics,Windows 10,1.91,23757.552
257,HP,Notebook,17.3,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,16,1TB HDD,,Nvidia GeForce MX150,Windows 10,2.9,56423.52
258,MSI,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,512GB SSD,1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.14,133146.72
259,Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD,1,1920,1080,Intel Core i7 7700HQ,2.8,8,512GB SSD,,Nvidia GeForce GTX 1050M,Windows 10,2.0,90522.72
260,Dell,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,2.8,60845.76
261,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,256GB SSD,,Intel HD Graphics 520,No OS,2.2,23656.32
262,HP,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 8250U,1.6,4,500GB HDD,,Intel HD Graphics 620,Windows 10,2.1,38468.16
263,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,4,1TB HDD,,Intel HD Graphics 620,Windows 10,2.18,35004.96
264,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,1TB HDD,,AMD Radeon R5 M430,Windows 10,2.24,30103.2
265,Dell,2 in 1 Convertible,15.6,Full HD,1,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,2.67,42570.72
266,Asus,2 in 1 Convertible,13.3,Full HD,1,1920,1080,Intel Core i7 8550U,1.8,8,512GB SSD,512GB SSD,Intel UHD Graphics 620,Windows 10,1.1,79866.72
267,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,4,1TB HDD,,Intel HD Graphics 620,No OS,2.2,24881.76
268,HP,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,1TB HDD,,Nvidia GeForce 930MX,Windows 10,2.5,54239.04
269,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,2.05,46886.4
270,Apple,Ultrabook,13.3,IPS Panel Retina Display,0,2560,1600,Intel Core i5,2.9,8,512GB SSD,,Intel Iris Graphics 550,macOS,1.37,104370.192
271,Asus,Gaming,17.3,Full HD,0,1920,1080,AMD Ryzen 1700,3.0,16,256GB SSD,1TB HDD,AMD Radeon RX 580,Windows 10,3.2,82530.72
272,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,AMD Radeon 520,Linux,2.14,39164.5296
273,Lenovo,2 in 1 Convertible,14.0,None,1,2560,1440,Intel Core i7 6600U,2.6,16,512GB SSD,,Intel HD Graphics 520,Windows 10,1.36,133146.72
274,Toshiba,Notebook,15.6,None,0,1366,768,Intel Core i7 6500U,2.5,8,500GB HDD,,Nvidia GeForce 930M,Windows 10,2.2,43263.36
275,Dell,Notebook,15.6,None,0,1366,768,Intel Core i7 7500U,2.7,12,1TB HDD,,Intel HD Graphics 620,Windows 10,2.3,37992.3696
276,Dell,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,128GB SSD,1TB HDD,AMD Radeon 530,Linux,2.8,58554.72
277,Acer,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,1TB HDD,,Nvidia GeForce MX130,Windows 10,2.2,39693.6
278,Lenovo,Notebook,17.3,None,0,1600,900,Intel Core i3 6006U,2.0,4,1TB HDD,,Intel HD Graphics 520,Windows 10,2.8,26053.92
279,Lenovo,Notebook,17.3,Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,2TB HDD,,Nvidia GeForce MX150,No OS,2.8,45234.72
280,Lenovo,Notebook,17.3,None,0,1600,900,Intel Core i7 7500U,2.7,6,128GB SSD,1TB HDD,Nvidia GeForce 940MX,Windows 10,2.8,45767.52
281,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,1TB HDD,,AMD Radeon R5 M430,Linux,2.25,22803.84
282,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i5 7300HQ,2.5,8,256GB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.5,44169.12
283,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,6,256GB SSD,,Intel HD Graphics 620,Windows 10,2.2,30849.12
284,Acer,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 8550U,1.8,8,256GB SSD,,Nvidia GeForce MX150,Windows 10,3.0,50669.28
285,Acer,Notebook,15.6,IPS Panel Full HD,1,1920,1080,Intel Core i7 7500U,2.7,12,1TB HDD,,Intel HD Graphics 620,Windows 10,2.15,35111.52
286,Lenovo,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Intel HD Graphics 630,Windows 10,1.95,58448.16
287,Asus,Ultrabook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Nvidia GeForce 940MX,Windows 10,1.7,52054.56
288,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.5,62817.12
289,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,1TB HDD,,Nvidia GeForce 940MX,No OS,2.2,35112.0528
290,Acer,Notebook,15.6,None,0,1366,768,Intel Celeron Dual Core 3205U,1.5,2,16GB SSD,,Intel HD Graphics,Chrome OS,2.19,10602.72
291,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,1TB HDD,,Nvidia GeForce GTX 1050,Windows 10,3.0,63243.36
292,HP,Notebook,17.3,None,0,1600,900,Intel Core i3 6006U,2.0,8,1TB HDD,,Intel HD Graphics 520,Windows 10,2.54,26053.92
293,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,256GB SSD,,Nvidia GeForce GTX 1050,Windows 10,2.0,97449.12
294,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,256GB SSD,,Intel UHD Graphics 620,Windows 10,2.05,39373.92
295,Lenovo,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,1TB HDD,,Nvidia GeForce GTX 1060,Windows 10,3.2,69210.72
296,Acer,Notebook,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,256GB SSD,,Nvidia GeForce GTX 1050Ti,Linux,2.5,52161.12
297,Dell,Workstation,17.3,Full HD,0,1920,1080,Intel Core i7 7820HQ,2.9,16,256GB SSD,,Nvidia Quadro M1200,Windows 10,3.42,153705.3408
298,Lenovo,Notebook,15.6,Full HD,0,1920,1080,AMD A10-Series 9600P,2.4,6,1TB HDD,,AMD Radeon R5 430,Windows 10,2.4,26586.72
299,Asus,Ultrabook,15.6,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,16,512GB SSD,,Nvidia GeForce 940MX,Windows 10,1.63,78215.04
300,Asus,Notebook,14.0,None,0,1366,768,Intel Core i3 7100U,2.4,4,128GB SSD,,Intel HD Graphics 620,Windows 10,1.3,27119.52
301,Asus,Gaming,17.3,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9,113060.16
302,Lenovo,Notebook,17.3,None,0,1600,900,Intel Core i5 7200U,2.5,6,1TB HDD,,Nvidia GeForce GTX 940M,Windows 10,2.8,34578.72
303,Lenovo,Notebook,15.6,None,0,1366,768,Intel Core i5 7200U,2.5,8,2TB HDD,,Nvidia GeForce 940MX,No OS,2.2,29250.72
304,Asus,Gaming,15.6,Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,8,128GB SSD,1TB HDD,Nvidia GeForce GTX 1050Ti,Windows 10,2.5,67399.2
305,Lenovo,Notebook,15.6,None,0,1366,768,Intel Pentium Quad Core N4200,1.1,4,1TB HDD,,Intel HD Graphics 505,No OS,2.2,19180.2672
306,HP,2 in 1 Convertible,13.3,Full HD,1,1920,1080,Intel Core i7 7600U,2.8,16,256GB SSD,,Intel HD Graphics 620,Windows 10,1.28,105228.0
307,Toshiba,Notebook,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 6500U,2.5,8,256GB SSD,,Nvidia GeForce 930M,Windows 10,2.2,55571.04
308,Lenovo,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,128GB SSD,1TB HDD,Nvidia GeForce 940MX,Windows 10,2.3,43636.32
309,HP,Notebook,15.6,Full HD,0,1920,1080,Intel Core i3 6006U,2.0,4,1TB HDD,,Intel HD Graphics 520,Windows 10,1.86,24988.32
310,Lenovo,Notebook,13.3,IPS Panel Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.1,53226.72
311,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD,1,3840,2160,Intel Core i7 8550U,1.8,16,1TB SSD,,Intel UHD Graphics 620,Windows 10,1.21,133146.72
312,MSI,Gaming,15.6,IPS Panel Full HD,0,1920,1080,Intel Core i7 7700HQ,2.8,16,256GB SSD,1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8,111834.72
313,Acer,Notebook,15.6,Full HD,0,1920,1080,AMD A8-Series 7410,2.2,8,256GB SSD,,AMD Radeon R5,Windows 10,2.23,24988.32
314,Asus,2 in 1 Convertible,11.6,None,1,1366,768,Intel Celeron Dual Core N3350,1.1,2,32GB Flash Storage,,Intel HD Graphics 500,Windows 10,1.1,14652.0
315,Dell,Notebook,15.6,Full HD,0,1920,1080,Intel Core i5 8250U,1.6,8,128GB SSD,1TB HDD,AMD Radeon 530,Windows 10,2.33,44968.32
316,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD,1,3840,2160,Intel Core i7 8550U,1.8,16,1TB SSD,,Intel UHD Graphics 620,Windows 10,1.29,130482.72
317,Lenovo,Notebook,13.3,None,0,1366,768,Intel Celeron Dual Core 3855U,1.6,4,16GB Flash Storage,,Intel HD Graphics 510,Chrome OS,1.45,24503.472
318,HP,Notebook,14.0,Full HD,0,1920,1080,Intel Core i5 7200U,2.5,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.95,52214.4
319,Acer,Notebook,11.6,None,0,1366,768,Intel Pentium Quad Core N3710,1.6,4,128GB Flash Storage,,Intel HD Graphics 405,Windows 10,1.4,25840.8
320,HP,Notebook,14.0,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Intel HD Graphics 620,Windows 10,1.48,68837.76
321,Lenovo,Notebook,17.3,None,0,1600,900,Intel Core i5 7200U,2.5,4,1TB HDD,,Nvidia GeForce 920MX,Windows 10,2.79,31381.92
322,Asus,Notebook,14.0,Full HD,0,1920,1080,Intel Core i7 7500U,2.7,8,256GB SSD,,Intel HD Graphics 620,Windows 10,2.0,58288.32
